id,mass,dimx,dimy,dimz,cmassx,cmassy,cmassz,persubmerged,tractionmult,tractionloss,tractionbias,numofgears,velocity,acceleration,drivetype,enginetype,deceleration,brakebias,abs,steeringlock,suspensionforce,suspensiondamping,seatoffset,collisiondamage,value,suspensionuplimit,suspensionlowlimit,suspensionbias,flags,frontlights,rearlights
LANDSTAL,1700.0,2.0,5.0,2.0,0.0,0.0,0.25,85,0.85,0.85,0.51,5,160.0,20.0,4,D,6.2,0.60,0,35.0,2.0,0.1,0.27,0.35,25000,0.25,-0.1,0.5,C00B,0,1
IDAHO,1600.0,1.9,5.0,1.7,0.0,0.0,0.4,75,0.75,0.70,0.52,5,160.0,16.0,R,P,6.2,0.55,0,30.0,1.0,0.1,0.28,0.55,20000,0.35,-0.17,0.5,2,0,1
STINGER,1000.0,1.9,4.7,1.5,0.0,0.0,-0.30,50,1.2,0.85,0.5,5,200.0,30.0,4,P,11.0,0.45,0,30.0,2.6,0.1,0.25,1.0,35000,0.28,-0.14,0.5,A182,1,1
LINERUN,3800.0,2.6,7.5,3.5,0.0,0.0,0.0,90,0.95,0.65,0.4,5,120.0,18.0,R,D,8.0,0.30,0,25.0,1.8,0.04,0.4,0.13,35000,0.40,-0.20,0.5,100,0,1
PEREN,1200.0,1.9,5.0,1.4,0.0,0.0,0.25,70,0.95,0.80,0.53,5,150.0,13.0,F,P,04.17,0.80,0,30.0,1.4,0.1,0.2,1.0,10000,0.37,-0.17,0.5,A,1,1
SENTINEL,1400.0,2.0,4.9,1.6,0.0,0.2,-0.20,75,0.91,0.80,0.55,5,165.0,24.0,R,P,10.17,0.55,0,30.0,1.3,0.13,0.2,0.8,35000,0.27,-0.15,0.5,8002,0,1
PATRIOT,2500.0,2.4,5.7,2.2,0.0,0.0,-0.15,80,0.92,0.78,0.5,5,170.0,19.0,4,P,08.17,0.50,0,30.0,1.5,0.1,0.28,0.2,40000,0.35,-0.35,0.5,4103,0,1
FIRETRUK,6500.0,2.9,7.7,3.8,0.0,0.0,0.0,90,0.65,0.7,0.5,5,170.0,22.0,R,D,10.00,0.45,0,27.0,1.2,0.08,0.2,0.08,15000,0.47,-0.17,0.5,4404,0,1
TRASH,5500.0,2.9,8.0,3.6,0.0,0.0,0.0,90,0.58,0.8,0.5,4,110.0,07.0,R,D,03.17,0.40,0,30.0,1.4,0.06,0.3,0.1,5000,0.45,-0.25,0.55,4003,0,1
STRETCH,2200.0,2.0,7.3,1.3,0.0,0.0,0.0,75,0.67,0.8,0.5,5,180.0,10.0,F,P,10.0,0.40,0,30.0,1.2,0.07,0.2,0.65,40000,0.35,-0.15,0.5,8002,1,1
MANANA,1000.0,2.0,4.5,1.4,0.0,0.0,0.1,70,1.00,0.86,0.5,4,160.0,15.0,F,P,08.0,0.80,0,30.0,1.6,0.08,0.26,1.0,9000,0.31,-0.11,0.5,2,0,0
INFERNUS,1600.0,2.0,4.4,1.1,0.0,0.0,-0.3,70,1.1,0.82,0.53,5,240.0,25.0,R,P,11.0,0.52,0,30.0,2.2,0.1,0.30,0.9,95000,0.25,-0.14,0.5,8181,0,1
BLISTA,1900.0,2.1,5.5,1.9,0.0,0.0,0.2,70,0.8,0.75,0.54,5,170.0,20.0,F,P,7.0,0.65,0,30.0,1.4,0.11,0.2,0.8,20000,0.25,-0.15,0.5,2,0,1
PONY,2600.0,2.0,6.0,2.6,0.0,0.0,0.1,80,0.85,0.70,0.46,5,160.0,15.0,R,D,6.0,0.80,0,30.0,2.2,0.07,0.2,0.45,20000,0.35,-0.15,0.4,22,0,3
MULE,3500.0,2.3,6.5,3.3,0.0,0.0,0.5,80,0.82,0.70,0.46,5,140.0,12.0,R,D,4.5,0.60,0,30.0,2.5,0.11,0.46,0.3,22000,0.30,-0.15,0.5,4422,0,3
CHEETAH,1200.0,2.0,4.5,1.2,0.0,0.0,-0.3,70,1.2,0.86,0.52,5,230.0,30.0,R,P,11.1,0.52,0,30.0,3.0,0.1,0.40,0.9,105000,0.25,-0.10,0.5,8181,0,0
AMBULAN,2600.0,2.2,6.5,2.0,0.0,0.0,0.3,90,0.95,0.80,0.47,5,190.0,24.0,4,D,7.0,0.55,0,35.0,1.4,0.07,0.58,0.25,10000,0.40,-0.15,0.5,822,0,1
FBICAR,1500.0,1.9,4.9,1.5,0.0,0.0,0.1,75,0.93,0.91,0.51,5,190.0,24.0,4,P,10.0,0.5,0,30.0,1.6,0.12,0.24,0.3,18000,0.27,-0.19,0.5,8002,0,2
MOONBEAM,2000.0,2.2,5.5,2.5,0.0,0.0,0.1,85,0.9,0.8,0.47,5,150.0,15.0,F,D,5.5,0.6,0,30.0,1.4,0.1,0.2,0.75,16000,0.35,-0.15,0.5,A,0,3
ESPERANT,1800.0,2.0,5.0,1.6,0.0,0.0,0.0,70,0.90,0.8,0.52,5,160.0,18.0,R,P,3.4,0.60,0,28.0,1.0,0.05,0.36,0.6,19000,0.35,-0.18,0.5,1,0,3
TAXI,1450.0,2.1,5.4,1.6,0.0,0.0,-0.25,75,1.00,0.8,0.52,5,180.0,19.0,F,P,9.1,0.60,0,35.0,1.4,0.1,0.2,0.7,20000,0.25,-0.15,0.5,8002,0,1
KURUMA,1500.0,1.9,4.9,1.4,0.0,0.0,0.15,75,0.87,0.85,0.48,5,180.0,17.0,F,P,7.17,0.55,0,30.0,1.6,0.1,0.24,0.8,18000,0.27,-0.13,0.5,8002,1,1
BOBCAT,2000.0,2.1,5.0,2.3,0.0,0.0,0.1,75,0.95,0.85,0.5,5,165.0,17.0,4,D,8.5,0.5,0,35.0,2.0,0.12,0.26,0.2,26000,0.35,-0.29,0.45,A02,0,1
MRWHOOP,1700.0,2.0,5.0,2.5,0.0,0.0,0.0,85,0.75,0.75,0.5,4,145.0,12.0,F,D,4.17,0.80,0,35.0,1.2,0.1,0.24,0.9,29000,0.35,-0.15,0.5,4402,0,1
BFINJECT,800.0,2.0,3.5,1.5,0.0,0.0,0.0,80,0.90,0.8,0.48,4,170.0,35.0,R,P,6.1,0.45,0,30.0,2.0,0.08,0.38,1.0,15000,0.33,-0.07,0.5,A118,1,2
POLICE,1600.0,2.1,5.0,1.6,0.0,0.0,0.15,75,1.05,0.78,0.52,5,200.0,28.0,4,P,11.1,0.53,0,35.0,2.0,0.12,0.2,0.3,25000,0.28,-0.17,0.5,9002,0,1
ENFORCER,4000.0,2.4,6.8,2.9,0.0,0.2,0.4,85,0.85,0.7,0.46,5,170.0,17.0,R,D,8.4,0.45,0,27.0,1.8,0.1,0.32,0.08,40000,0.37,-0.17,0.5,27,0,1
SECURICA,7000.0,2.6,6.8,3.3,0.0,0.0,0.2,90,0.75,0.7,0.46,5,170.0,8.0,R,D,8.4,0.45,0,27.0,1.2,0.1,0.42,0.1,40000,0.35,-0.15,0.5,823,1,1
BANSHEE,1400.0,2.3,4.5,1.6,0.0,0.0,-0.25,70,1.10,0.84,0.53,5,200.0,33.0,R,P,11.1,0.52,0,30.0,2.0,0.13,0.2,0.7,45000,0.25,-0.18,0.5,A183,1,1
PREDATOR,2200.0,4.0,12.0,3.0,0.0,0.0,0.0,20,0.83,0.01,0.5,5,190.0,1.7,R,P,0.05,0.45,0,24.0,7.0,0.5,0.2,0.3,90000,0.10,-0.15,0.0,4,0,1
BUS,5500.0,2.9,8.0,3.6,0.0,0.0,0.0,90,0.65,0.85,0.45,4,130.0,9.0,R,D,4.17,0.40,0,30.0,1.2,0.07,0.2,0.4,15000,0.45,-0.25,0.45,1,1,1
RHINO,18000.0,3.5,8.0,3.8,0.0,0.0,0.0,90,0.75,0.8,0.5,4,80.0,8.0,4,D,8.17,0.50,0,20.0,1.8,0.05,1.12,0.01,110000,0.35,-0.10,0.5,4003,0,1
BARRACKS,10500.0,3.3,7.7,4.2,0.0,0.0,0.0,90,0.85,0.7,0.47,5,180.0,12.0,4,D,10.00,0.45,0,27.0,1.2,0.05,0.62,0.05,10000,0.47,-0.17,0.5,6022,0,1
TRAIN,25500.0,2.5,7.7,2.9,0.0,0.0,0.0,85,0.58,0.7,0.46,5,140.0,24.0,4,D,10.00,0.45,0,27.0,1.2,0.05,0.2,0.2,10000,0.47,-0.17,0.5,0,0,1
HELI,25500.0,2.5,7.7,2.9,0.0,0.0,0.0,85,0.58,0.7,0.46,5,140.0,24.0,4,D,10.00,0.45,0,27.0,1.2,0.05,0.2,0.2,10000,0.47,-0.17,0.5,0,0,1
DODO,2500.0,1.0,10.0,1.2,0.0,1.0,0.0,75,0.65,0.9,0.5,1,200.0,16.0,4,P,5.0,0.45,0,30.0,5.0,0.1,0.30,0.4,25000,1.25,-0.17,0.5,8000,0,1
COACH,9500.0,2.9,8.0,3.6,0.0,0.0,0.0,90,0.65,0.85,0.35,5,150.0,13.0,R,D,5.7,0.35,0,30.0,1.5,0.04,0.3,0.1,20000,0.45,-0.25,0.5,8040,0,1
CABBIE,1250.0,2.0,5.0,1.9,0.0,0.0,0.2,75,1.05,0.85,0.54,4,160.0,22.0,R,P,10.0,0.54,0,40.0,1.2,0.08,0.2,0.6,10000,0.25,-0.20,0.5,2,1,1
STALLION,1600.0,2.1,5.0,1.8,0.0,0.0,0.1,70,0.80,0.75,0.55,4,160.0,23.0,R,P,8.17,0.52,0,35.0,1.5,0.1,0.3,0.8,19000,0.30,-0.2,0.5,2101,1,1
RUMPO,2000.0,2.1,5.0,2.1,0.0,0.0,0.15,85,1.0,0.75,0.48,5,160.0,18.0,F,P,5.5,0.45,0,30.0,1.4,0.05,0.2,0.6,26000,0.33,-0.21,0.5,22,0,1
RCBANDIT,100.0,0.8,1.5,1.0,0.0,0.0,-0.1,70,1.10,0.75,0.50,1,75.0,35.0,4,E,5.5,0.50,0,25.0,1.6,0.1,0.2,1.0,500,0.28,-0.08,0.5,0,0,1
BELLYUP,2600.0,2.2,6.5,2.8,0.0,0.0,0.2,80,0.85,0.80,0.5,5,180.0,22.0,4,D,4.5,0.80,0,30.0,2.0,0.09,0.46,0.5,22000,0.30,-0.20,0.5,422,0,3
MRWONGS,3500.0,2.2,6.5,2.8,0.0,0.0,-0.2,80,0.95,0.85,0.48,5,180.0,20.0,4,D,4.5,0.80,0,30.0,1.8,0.12,0.46,0.22,28000,0.30,-0.22,0.5,423,0,3
MAFIA,1700.0,2.0,4.9,1.6,0.0,0.2,0.0,75,0.95,0.80,0.55,5,200.0,24.0,R,P,10.0,0.53,0,30.0,2.2,0.13,0.2,0.65,35000,0.27,-0.11,0.5,8002,0,1
YARDIE,1800.0,2.1,5.0,1.6,0.0,0.0,0.0,70,0.80,0.79,0.52,5,160.0,22.0,R,P,6.20,0.55,0,25.0,1.8,0.07,0.36,0.45,30000,0.30,-0.15,0.5,8103,1,1
YAKUZA,1400.0,1.9,4.7,1.6,0.0,0.25,-0.3,50,0.95,0.9,0.5,5,200.0,30.0,4,P,11.0,0.45,0,30.0,2.6,0.1,0.25,0.7,35000,0.28,-0.14,0.5,180,1,1
DIABLOS,1500.0,2.2,4.5,1.9,0.0,0.0,0.1,70,0.9,0.80,0.53,5,180.0,30.0,R,P,6.1,0.52,0,30.0,1.5,0.07,0.3,0.65,45000,0.33,-0.09,0.5,9102,1,1
COLUMB,3200.0,2.4,5.7,2.6,0.0,0.0,0.3,80,0.82,0.77,0.48,5,175.0,22.0,4,P,15.0,0.51,0,25.0,2.0,0.08,0.28,0.15,50000,0.32,-0.17,0.5,9A00,0,1
HOODS,2000.0,2.1,5.0,2.3,0.0,0.0,0.0,85,1.0,0.82,0.52,5,150.0,24.0,4,P,10.5,0.45,0,30.0,1.4,0.1,0.2,0.5,26000,0.33,-0.21,0.5,8023,0,1
AIRTRAIN,25500.0,2.5,7.7,2.9,0.0,0.0,0.0,85,0.58,0.7,0.46,5,140.0,24.0,4,D,10.00,0.45,0,27.0,1.2,0.05,0.2,0.2,10000,0.47,-0.17,0.5,0,0,1
DEADDODO,25500.0,2.5,7.7,2.9,0.0,0.0,0.0,85,0.58,0.7,0.46,5,140.0,24.0,4,D,10.00,0.45,0,27.0,1.2,0.05,0.2,0.2,10000,0.47,-0.17,0.5,0,0,1
SPEEDER,2200.0,3.2,10.0,2.2,0.0,0.0,0.0,22,0.83,0.01,0.0,5,190.0,2.4,R,P,0.04,0.45,0,20.0,7.0,0.65,0.7,0.35,90000,0.10,-0.15,0.2,4,0,1
REEFER,5000.0,3.5,7.0,4.0,0.0,0.0,0.0,14,0.83,0.02,0.0,5,190.0,0.9,R,P,0.02,0.45,0,25.0,3.0,0.20,0.2,0.15,90000,0.10,-0.15,0.5,4,0,1
PANLANT,2600.0,2.0,6.0,2.6,0.0,0.0,0.1,80,0.85,0.70,0.46,5,160.0,15.0,R,D,6.0,0.80,0,30.0,2.2,0.07,0.2,0.45,20000,0.35,-0.15,0.4,22,0,1
FLATBED,8500.0,3.1,7.7,4.1,0.0,0.0,0.3,90,0.88,0.7,0.46,5,150.0,10.0,R,D,10.00,0.45,0,27.0,2.1,0.05,0.62,0.1,10000,0.47,-0.11,0.5,2022,0,1
YANKEE,4500.0,2.4,6.5,3.8,0.0,0.0,0.0,80,0.75,0.70,0.5,5,160.0,14.0,R,D,4.5,0.80,0,30.0,1.8,0.12,0.6,0.2,22000,0.30,-0.25,0.5,4423,0,1
BORGNINE,1900.0,2.1,5.0,2.2,0.0,0.0,0.0,75,1.05,0.9,0.53,4,190.0,27.0,4,P,15.0,0.54,0,40.0,1.9,0.1,0.2,0.15,10000,0.25,-0.22,0.45,2,0,1